epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7943.26,0.94232,0.55713,0.97112,0.8499,0.81273,0.86792,0.54091,0.98542,0.51577,0.95145,0.000485566,0.000485566,0.000485566
43,8130.47,0.9435,0.55682,0.97454,0.84754,0.8127,0.86835,0.54145,0.97937,0.51624,0.95053,0.000466163,0.000466163,0.000466163
44,8317.52,0.9341,0.55207,0.9682,0.84827,0.81818,0.87163,0.54565,0.97929,0.51297,0.95036,0.000446819,0.000446819,0.000446819
45,8504.96,0.92693,0.54922,0.96743,0.83386,0.82907,0.87269,0.544,0.98006,0.50994,0.95072,0.000427565,0.000427565,0.000427565
46,8691.14,0.92708,0.54462,0.96839,0.86538,0.80641,0.87279,0.54429,0.98049,0.50848,0.95257,0.00040843,0.00040843,0.00040843
47,8877.17,0.9205,0.5412,0.96509,0.85856,0.81116,0.87088,0.54403,0.97966,0.51039,0.9512,0.000389445,0.000389445,0.000389445
48,9063.76,0.91491,0.53644,0.96381,0.84869,0.81708,0.87178,0.54731,0.97387,0.50739,0.94882,0.000370637,0.000370637,0.000370637
49,9250.59,0.91307,0.53099,0.96191,0.84902,0.82169,0.87103,0.54785,0.97339,0.50876,0.95023,0.000352037,0.000352037,0.000352037
50,9437.75,0.90925,0.52868,0.96256,0.85374,0.82143,0.87312,0.54662,0.97298,0.50694,0.94928,0.000333672,0.000333672,0.000333672
51,9624.22,0.90562,0.52731,0.95727,0.85132,0.82505,0.87119,0.54594,0.97696,0.5073,0.9505,0.000315572,0.000315572,0.000315572
52,9811.63,0.90011,0.52255,0.95601,0.84757,0.82265,0.86904,0.54573,0.9741,0.50603,0.95166,0.000297763,0.000297763,0.000297763
53,9998.3,0.89816,0.52123,0.95629,0.84831,0.82126,0.86874,0.54607,0.97498,0.50667,0.94999,0.000280275,0.000280275,0.000280275
54,10184.4,0.8913,0.51613,0.95457,0.85326,0.82142,0.8703,0.54581,0.97314,0.50482,0.94859,0.000263132,0.000263132,0.000263132
55,10371.4,0.89361,0.51694,0.95454,0.85051,0.82072,0.86832,0.54603,0.97263,0.50669,0.94823,0.000246363,0.000246363,0.000246363
56,10557.5,0.88132,0.50952,0.95006,0.84778,0.82087,0.86841,0.54757,0.96922,0.50528,0.9482,0.000229993,0.000229993,0.000229993
57,10743.5,0.87976,0.50916,0.95017,0.86634,0.80804,0.87144,0.54865,0.96838,0.50501,0.94801,0.000214046,0.000214046,0.000214046
58,10930.1,0.87404,0.505,0.94835,0.8569,0.81747,0.87283,0.54885,0.96855,0.50262,0.94849,0.000198548,0.000198548,0.000198548
59,11117.3,0.87455,0.50478,0.94685,0.85271,0.81929,0.87282,0.54975,0.96735,0.50147,0.94804,0.000183523,0.000183523,0.000183523
60,11303.8,0.87147,0.50125,0.94652,0.84969,0.82331,0.87263,0.55025,0.96632,0.50299,0.94728,0.000168994,0.000168994,0.000168994
61,11490.7,0.86539,0.49516,0.94475,0.85208,0.82422,0.87293,0.54937,0.96802,0.50441,0.94809,0.000154982,0.000154982,0.000154982
62,11677.2,0.86158,0.49457,0.94314,0.8538,0.8209,0.87196,0.54979,0.96861,0.50444,0.94809,0.00014151,0.00014151,0.00014151
63,11863.6,0.86202,0.49211,0.94453,0.85423,0.82334,0.87256,0.54957,0.97008,0.50359,0.94918,0.000128599,0.000128599,0.000128599
64,12050,0.85575,0.48741,0.94075,0.84965,0.82716,0.87361,0.54987,0.96923,0.5027,0.94874,0.000116268,0.000116268,0.000116268
65,12236.8,0.85725,0.48769,0.94127,0.85508,0.82495,0.87484,0.55011,0.96854,0.50249,0.94864,0.000104537,0.000104537,0.000104537
66,12423.4,0.85539,0.48818,0.9417,0.85694,0.82237,0.87414,0.55087,0.96777,0.50272,0.94834,9.34E-05,9.34E-05,9.34E-05
67,12610.2,0.85188,0.48631,0.93846,0.8591,0.81941,0.87333,0.55129,0.96765,0.50365,0.94827,8.29E-05,8.29E-05,8.29E-05
68,12797,0.84417,0.48062,0.93677,0.8626,0.81829,0.87387,0.55091,0.96691,0.50329,0.94834,7.31E-05,7.31E-05,7.31E-05
69,12983.7,0.84594,0.48155,0.93747,0.86278,0.81688,0.87239,0.54947,0.96712,0.50328,0.94814,6.40E-05,6.40E-05,6.40E-05
70,13170.4,0.84368,0.47999,0.93659,0.8613,0.8185,0.87181,0.54971,0.96694,0.50391,0.94811,5.55E-05,5.55E-05,5.55E-05
71,13387.9,0.79593,0.40782,0.90423,0.86255,0.81294,0.86998,0.54871,0.96679,0.50485,0.94922,4.77E-05,4.77E-05,4.77E-05
72,13570.7,0.7899,0.40375,0.90154,0.85901,0.81132,0.86832,0.54774,0.9672,0.50533,0.94948,4.06E-05,4.06E-05,4.06E-05
73,13754.1,0.7849,0.39995,0.9,0.85827,0.81534,0.86914,0.54768,0.9672,0.50582,0.94965,3.42E-05,3.42E-05,3.42E-05
74,13939.4,0.78332,0.40067,0.90153,0.86187,0.81507,0.8694,0.54741,0.96739,0.5052,0.94983,2.86E-05,2.86E-05,2.86E-05
75,14123.1,0.78245,0.39785,0.89925,0.86086,0.81549,0.86899,0.54707,0.96699,0.50516,0.94969,2.37E-05,2.37E-05,2.37E-05
76,14306.6,0.77848,0.39598,0.89956,0.85899,0.81677,0.86948,0.54694,0.96732,0.50541,0.94995,1.95E-05,1.95E-05,1.95E-05
77,14489.3,0.78352,0.39823,0.90163,0.85845,0.81837,0.86986,0.54757,0.96701,0.50556,0.95001,1.61E-05,1.61E-05,1.61E-05
78,14671.9,0.77718,0.39635,0.89812,0.85437,0.82097,0.86978,0.5473,0.96719,0.50582,0.95026,1.34E-05,1.34E-05,1.34E-05
79,14854.5,0.77595,0.39454,0.89696,0.85496,0.82179,0.8698,0.54712,0.96801,0.50627,0.95069,1.15E-05,1.15E-05,1.15E-05
80,15037.1,0.77653,0.39416,0.89915,0.854,0.82228,0.87014,0.54727,0.96812,0.50679,0.95108,1.04E-05,1.04E-05,1.04E-05
